[2025-04-23 21:47:59] Node 107: [BOOT] Node 107 initialized.
[2025-04-23 21:47:59] Node 107: [SEND] To topic `cluster-broadcast`: {'type': 'hello', 'id': 107}
[2025-04-23 21:48:03] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 101}
[2025-04-23 21:48:03] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 102}
[2025-04-23 21:48:03] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 100}
[2025-04-23 21:48:03] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 103}
[2025-04-23 21:48:03] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 104}
[2025-04-23 21:48:03] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 105}
[2025-04-23 21:48:03] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 106}
[2025-04-23 21:48:03] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 100}
[2025-04-23 21:48:03] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 100}
[2025-04-23 21:48:04] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 101}
[2025-04-23 21:48:04] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 101}
[2025-04-23 21:48:04] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 102}
[2025-04-23 21:48:04] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 102}
[2025-04-23 21:48:04] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 103}
[2025-04-23 21:48:04] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 103}
[2025-04-23 21:48:04] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 104}
[2025-04-23 21:48:04] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 104}
[2025-04-23 21:48:04] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 105}
[2025-04-23 21:48:05] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 105}
[2025-04-23 21:48:05] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 106}
[2025-04-23 21:48:05] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 106}
[2025-04-23 21:48:05] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 100}
[2025-04-23 21:48:05] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 101}
[2025-04-23 21:48:05] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 102}
[2025-04-23 21:48:05] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 103}
[2025-04-23 21:48:06] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 104}
[2025-04-23 21:48:06] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 100}
[2025-04-23 21:48:06] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 101}
[2025-04-23 21:48:06] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 102}
[2025-04-23 21:48:06] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 103}
[2025-04-23 21:48:06] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 104}
[2025-04-23 21:48:07] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 100}
[2025-04-23 21:48:07] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 101}
[2025-04-23 21:48:07] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 102}
[2025-04-23 21:48:07] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 103}
[2025-04-23 21:48:07] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 104}
[2025-04-23 21:48:07] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 100}
[2025-04-23 21:48:08] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 101}
[2025-04-23 21:48:08] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 102}
[2025-04-23 21:48:08] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 105}
[2025-04-23 21:48:08] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 103}
[2025-04-23 21:48:08] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 104}
[2025-04-23 21:48:08] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 106}
[2025-04-23 21:48:08] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 100}
[2025-04-23 21:48:09] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 101}
[2025-04-23 21:48:09] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 102}
[2025-04-23 21:48:09] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 103}
[2025-04-23 21:48:09] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 104}
[2025-04-23 21:48:09] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 100}
[2025-04-23 21:48:09] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 101}
[2025-04-23 21:48:09] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 105}
[2025-04-23 21:48:10] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 102}
[2025-04-23 21:48:10] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 106}
[2025-04-23 21:48:10] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 103}
[2025-04-23 21:48:10] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 104}
[2025-04-23 21:48:10] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 100}
[2025-04-23 21:48:10] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 101}
[2025-04-23 21:48:10] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 102}
[2025-04-23 21:48:11] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 103}
[2025-04-23 21:48:11] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 104}
[2025-04-23 21:48:11] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 105}
[2025-04-23 21:48:11] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 106}
[2025-04-23 21:48:11] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 100}
[2025-04-23 21:48:12] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 101}
[2025-04-23 21:48:12] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 102}
[2025-04-23 21:48:12] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 103}
[2025-04-23 21:48:12] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 104}
[2025-04-23 21:48:12] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 101}
[2025-04-23 21:48:13] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 102}
[2025-04-23 21:48:13] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 103}
[2025-04-23 21:48:13] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 105}
[2025-04-23 21:48:13] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 104}
[2025-04-23 21:48:13] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 106}
[2025-04-23 21:48:13] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 105}
[2025-04-23 21:48:13] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 106}
[2025-04-23 21:48:14] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 100}
[2025-04-23 21:48:14] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 100}
[2025-04-23 21:48:14] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 101}
[2025-04-23 21:48:14] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 102}
[2025-04-23 21:48:14] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 103}
[2025-04-23 21:48:14] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 104}
[2025-04-23 21:48:15] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 105}
[2025-04-23 21:48:15] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 106}
[2025-04-23 21:48:15] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 100}
[2025-04-23 21:48:15] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'heartbeat', 'from': 100}
[2025-04-23 21:48:15] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 101}
[2025-04-23 21:48:15] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 101}
[2025-04-23 21:48:16] Node 107: [RECEIVE] From topic `cluster-broadcast`: {'type': 'coordinator', 'id': 102}
